Img_path,label
./dataset/Fruits Classification/valid/Grape/Grape (1038).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (1488).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (1409).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (1307).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (1951).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (936).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (559).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (1811).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (954).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (728).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (1444).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (757).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (979).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (125).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (1594).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (483).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (953).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (899).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (84).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (1474).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (1773).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (338).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (989).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (165).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (890).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (270).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (835).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (1941).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (1922).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (1996).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (535).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (1954).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (1850).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (1275).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (1542).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (1242).jpeg,2
./dataset/Fruits Classification/valid/Banana/Banana (3402).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (3918).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (2815).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (2955).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (3427).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (3757).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (3298).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (2488).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (3701).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (2605).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (2111).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (3418).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (2328).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (3294).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (2678).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (3331).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (2885).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (3236).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (2959).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (2189).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (2686).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (3234).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (2873).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (1996).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (2628).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (3860).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (3676).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (3540).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (3896).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (2986).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (2400).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (3703).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (3031).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (3324).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (3400).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (2766).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (2061).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (3015).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (2558).jpeg,1
./dataset/Fruits Classification/valid/Banana/Banana (7).jpeg,1
./dataset/Fruits Classification/valid/Mango/Mango (1936).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1272).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (684).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1179).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1102).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (357).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1976).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1389).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (238).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1017).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1377).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1579).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (759).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (190).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (780).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1054).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (329).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1606).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (463).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (28).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (360).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (326).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (588).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1163).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1031).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1325).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1942).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (408).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1448).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1305).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1119).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1035).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (682).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1807).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (145).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1914).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1306).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (22).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (223).jpeg,3
./dataset/Fruits Classification/valid/Mango/Mango (1749).jpeg,3
./dataset/Fruits Classification/test/Apple/Apple (1526).jpeg,0
./dataset/Fruits Classification/test/Apple/Apple (1976).jpeg,0
./dataset/Fruits Classification/test/Apple/Apple (1415).jpeg,0
./dataset/Fruits Classification/test/Apple/Apple (1750).jpeg,0
./dataset/Fruits Classification/test/Apple/Apple (1624).jpeg,0
./dataset/Fruits Classification/test/Apple/Apple (28).jpeg,0
./dataset/Fruits Classification/test/Apple/Apple (1729).jpeg,0
./dataset/Fruits Classification/test/Apple/Apple (1153).jpeg,0
./dataset/Fruits Classification/test/Apple/Apple (420).jpeg,0
./dataset/Fruits Classification/test/Apple/Apple (1348).jpeg,0
./dataset/Fruits Classification/test/Apple/Apple (1809).jpeg,0
./dataset/Fruits Classification/test/Apple/Apple (1555).jpeg,0
./dataset/Fruits Classification/test/Apple/Apple (1133).jpeg,0
./dataset/Fruits Classification/test/Apple/Apple (1789).jpeg,0
./dataset/Fruits Classification/test/Apple/Apple (27).jpeg,0
./dataset/Fruits Classification/test/Apple/Apple (1413).jpeg,0
./dataset/Fruits Classification/test/Apple/Apple (545).jpeg,0
./dataset/Fruits Classification/test/Apple/Apple (233).jpeg,0
./dataset/Fruits Classification/test/Apple/Apple (1423).jpeg,0
./dataset/Fruits Classification/test/Strawberry/Strawberry (311).jpeg,4
./dataset/Fruits Classification/test/Strawberry/Strawberry (134).jpeg,4
./dataset/Fruits Classification/test/Strawberry/Strawberry (122).jpeg,4
./dataset/Fruits Classification/test/Strawberry/Strawberry (792).jpeg,4
./dataset/Fruits Classification/test/Strawberry/Strawberry (635).jpeg,4
./dataset/Fruits Classification/test/Strawberry/Strawberry (1546).jpeg,4
./dataset/Fruits Classification/test/Strawberry/Strawberry (1721).jpeg,4
./dataset/Fruits Classification/test/Strawberry/Strawberry (598).jpeg,4
./dataset/Fruits Classification/test/Strawberry/Strawberry (1593).jpeg,4
./dataset/Fruits Classification/test/Strawberry/Strawberry (1861).jpeg,4
./dataset/Fruits Classification/test/Strawberry/Strawberry (1725).jpeg,4
./dataset/Fruits Classification/test/Strawberry/Strawberry (2000).jpeg,4
./dataset/Fruits Classification/test/Strawberry/Strawberry (918).jpeg,4
./dataset/Fruits Classification/test/Strawberry/Strawberry (1411).jpeg,4
./dataset/Fruits Classification/test/Strawberry/Strawberry (161).jpeg,4
./dataset/Fruits Classification/test/Strawberry/Strawberry (717).jpeg,4
./dataset/Fruits Classification/test/Strawberry/Strawberry (639).jpeg,4
./dataset/Fruits Classification/test/Strawberry/Strawberry (1423).jpeg,4
./dataset/Fruits Classification/test/Strawberry/Strawberry (1132).jpeg,4
./dataset/Fruits Classification/test/Strawberry/Strawberry (1590).jpeg,4
./dataset/Fruits Classification/test/Grape/Grape (1090).jpeg,2
./dataset/Fruits Classification/test/Grape/Grape (909).jpeg,2
./dataset/Fruits Classification/test/Grape/Grape (1973).jpeg,2
./dataset/Fruits Classification/test/Grape/Grape (286).jpeg,2
./dataset/Fruits Classification/test/Grape/Grape (1793).jpeg,2
./dataset/Fruits Classification/test/Grape/Grape (1222).jpeg,2
./dataset/Fruits Classification/test/Grape/Grape (1910).jpeg,2
./dataset/Fruits Classification/test/Grape/Grape (1902).jpeg,2
./dataset/Fruits Classification/test/Grape/Grape (1266).jpeg,2
./dataset/Fruits Classification/test/Grape/Grape (1470).jpeg,2
./dataset/Fruits Classification/test/Grape/Grape (1575).jpeg,2
./dataset/Fruits Classification/test/Grape/Grape (387).jpeg,2
./dataset/Fruits Classification/test/Grape/Grape (1073).jpeg,2
./dataset/Fruits Classification/test/Grape/Grape (710).jpeg,2
./dataset/Fruits Classification/test/Grape/Grape (567).jpeg,2
./dataset/Fruits Classification/test/Grape/Grape (1521).jpeg,2
./dataset/Fruits Classification/test/Grape/Grape (54).jpeg,2
./dataset/Fruits Classification/test/Grape/Grape (1751).jpeg,2
./dataset/Fruits Classification/test/Grape/Grape (1656).jpeg,2
./dataset/Fruits Classification/test/Grape/Grape (1335).jpeg,2
./dataset/Fruits Classification/test/Banana/Banana (2067).jpeg,1
./dataset/Fruits Classification/test/Banana/Banana (2120).jpeg,1
./dataset/Fruits Classification/test/Banana/Banana (2712).jpeg,1
./dataset/Fruits Classification/test/Banana/Banana (3813).jpeg,1
./dataset/Fruits Classification/test/Banana/Banana (2727).jpeg,1
./dataset/Fruits Classification/test/Banana/Banana (2928).jpeg,1
./dataset/Fruits Classification/test/Banana/Banana (3901).jpeg,1
./dataset/Fruits Classification/test/Banana/Banana (2279).jpeg,1
./dataset/Fruits Classification/test/Banana/Banana (2179).jpeg,1
./dataset/Fruits Classification/test/Banana/Banana (2291).jpeg,1
./dataset/Fruits Classification/test/Banana/Banana (3362).jpeg,1
./dataset/Fruits Classification/test/Banana/Banana (2845).jpeg,1
./dataset/Fruits Classification/test/Banana/Banana (2121).jpeg,1
./dataset/Fruits Classification/test/Banana/Banana (2044).jpeg,1
./dataset/Fruits Classification/test/Banana/Banana (2580).jpeg,1
./dataset/Fruits Classification/test/Banana/Banana (3652).jpeg,1
./dataset/Fruits Classification/test/Banana/Banana (2448).jpeg,1
./dataset/Fruits Classification/test/Banana/Banana (3449).jpeg,1
./dataset/Fruits Classification/test/Banana/Banana (3597).jpeg,1
./dataset/Fruits Classification/test/Banana/Banana (3939).jpeg,1
./dataset/Fruits Classification/test/Mango/Mango (1287).jpeg,3
./dataset/Fruits Classification/test/Mango/Mango (535).jpeg,3
./dataset/Fruits Classification/test/Mango/Mango (1477).jpeg,3
./dataset/Fruits Classification/test/Mango/Mango (540).jpeg,3
./dataset/Fruits Classification/test/Mango/Mango (1463).jpeg,3
./dataset/Fruits Classification/test/Mango/Mango (1718).jpeg,3
./dataset/Fruits Classification/test/Mango/Mango (1415).jpeg,3
./dataset/Fruits Classification/test/Mango/Mango (900).jpeg,3
./dataset/Fruits Classification/test/Mango/Mango (1855).jpeg,3
./dataset/Fruits Classification/test/Mango/Mango (58).jpeg,3
./dataset/Fruits Classification/test/Mango/Mango (1862).jpeg,3
./dataset/Fruits Classification/test/Mango/Mango (566).jpeg,3
./dataset/Fruits Classification/test/Mango/Mango (314).jpeg,3
./dataset/Fruits Classification/test/Mango/Mango (70).jpeg,3
./dataset/Fruits Classification/test/Mango/Mango (768).jpeg,3
./dataset/Fruits Classification/test/Mango/Mango (906).jpeg,3
./dataset/Fruits Classification/test/Mango/Mango (1746).jpeg,3
./dataset/Fruits Classification/test/Mango/Mango (275).jpeg,3
./dataset/Fruits Classification/test/Mango/Mango (1669).jpeg,3
./dataset/Fruits Classification/test/Mango/Mango (733).jpeg,3
./dataset/Fruits Classification/train/Apple/Apple (579).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1716).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (70).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (697).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1925).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (382).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (830).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1102).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (167).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (77).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (269).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1661).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (367).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (490).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (275).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (636).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1435).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1575).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (793).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1287).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (777).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (506).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1613).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (452).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1968).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (198).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1503).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (161).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (867).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (852).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1977).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (303).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (621).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1943).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (961).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1672).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (357).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1207).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (138).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1002).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (24).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (647).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1652).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1437).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1766).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1480).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (561).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1447).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (162).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (607).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (895).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1751).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1821).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1339).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1726).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (754).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1270).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1060).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (581).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (183).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1796).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1676).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (489).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (821).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (502).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1631).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1117).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1100).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1507).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1608).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1681).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (898).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (586).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (684).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (122).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (56).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1576).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1616).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (45).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1781).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (501).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1962).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (415).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1195).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (739).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (424).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1554).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (536).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1883).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (769).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (763).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (354).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (768).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1724).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (931).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (135).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (268).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1400).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1797).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (33).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1302).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1592).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (82).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1346).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (239).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (108).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (996).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (59).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (483).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1278).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1972).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1404).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (817).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1802).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (486).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (1105).jpeg,0
./dataset/Fruits Classification/train/Apple/Apple (602).jpeg,0
